GOODNO,SUCCYMD,CARNM,CHASNO,CARREGIYMD,YEAR,MISSNM,FUELNM,COLOR,EXHA,TRAVDIST,USEUSENM,OWNECLASNM,INNEEXPOCLASCD_YN,NEWCARPRIC,SUCCPRIC,YEARCHK,BONET,FRONT_LEFT_FENDER,FRONT_RIGHT_FENDER,FRONT_LEFT_DOOR,FRONT_RIGHT_DOOR,BACK_LEFT_DOOR,BACK_RIGHT_DOOR,TRUNK,FRONT_PANNEL,LEFT_STEP,RIGHT_STEP,LEFT_FILER_A,RIGHT_FILER_A,LEFT_FILER_B,RIGHT_FILER_B,LEFT_FILER_C,RIGHT_FILER_C,LEFT_REAR_FENDER,RIGHT_REAR_FENDER,BACK_PANEL1,LEFT_INSIDE_PANEL,RIGHT_INSIDE_PANEL,LEFT_WHEEL_HOUSE,RIGHT_WHEEL_HOUSE,LEFT_INSIDE_WHEEL_HOUSE,RIGHT_INSIDE_WHEEL_HOUSE,LEFT_REAR_WHEEL_HOUSE,RIGHT_REAR_WHEEL_HOUSE,TRUNK_FLOOR,DASH_PANEL,SHEET_PANEL,SIDE_MEMBER_FRAME,LEFT_QUARTER,RIGHT_QUARTER,FLOOR_PANEL,LEFT_SIDE_PANEL,RIGHT_SIDE_PANEL,LEFT_REAR_CORNER_PANEL,RIGHT_REAR_CORNER_PANEL,BACK_PANEL2,LEFT_CORNER_PANEL,RIGHT_CORNER_PANEL,LEFT_SKIRT_PANEL,RIGHT_SKIRT_PANEL,SIDE_MEMBER_FRAME2,LEFT_INSIDE_SHEETING,RIGHT_INSIDE_SHEETING,LEFT_WHEEL_HOUSE_SHEETING,RIGHT_WHEEL_HOUSE_SHEETING,LEFT_REAR_INSIDE_PANEL_SHEETING,RIGHT_REAR_INSIDE_PANEL_SHEETING,LEFT_REAR_WHEEL_HOUSE_SHEETING,RIGHT_REAR_WHEEL_HOUSE_SHEETING,TRUNK_FLOOR_SHEETING,DASH_PANEL_SHEETING,SHEET_BACK_PANEL_SHEETING,SIDE_MEMBER_FRAME_SHEETING,FLOOR_PANEL_SHEETING,LEFT_SIDE_PANEL_SHEETING,RIGHT_SIDE_PANEL_SHEETING,FLOODING,TOTAL_LOSS,JOINCAR,NOTAVAILABLE,MF_KEY,MJ_MODEL_KEY,DT_MODEL_KEY,MJ_GRADE_KEY,DT_GRADE_KEY,NC_GRADE_KEY,SHIPPING_PRICE,NC_GRADE_PRICE,ABS,AB2,NAVIGATION,VDC,SMARTKEY,SUNLOOPPANORAMA,SUNLOOPCOMMON,SUNLOOPDUAL,DIS,TCS,AB1,ETC,AV,EPS,ECS
1905C0426,20190523,더뉴K5 2.0 LPI 렌터카 디럭스 ,KNAGN418BFA532745,20140529,2015,A/T,LPG,A,1999,155933,렌트,법인상품,X,1,5600000,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,38,935,5789,23037,17401,17130000,17050000,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1905C0424,20190523,더뉴K5 2.0 LPI 렌터카 디럭스 ,KNAGN418BFA532693,20140529,2015,A/T,LPG,A,1999,152960,렌트,법인상품,X,1,5700000,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,38,935,5789,23037,17401,17130000,17050000,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1905C0431,20190523,더뉴K5 2.0 LPI 렌터카 디럭스 ,KNAGN418BFA532176,20140529,2015,A/T,LPG,A,1999,161471,렌트,법인상품,X,1,5700000,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,38,935,5789,23037,17401,17130000,17050000,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1905C0632,20190523,더뉴K3 1.6 가솔린(4도어) 노블레스 ,KNAFZ412BGA593382,20160219,2016,A/T,가솔린,A,1591,35382,자가,법인상품,X,1,13100000,Y,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,37,1588,17136,33268,32440,24050000,20950000,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
1905C0268,20190523,더뉴K9 V6 3.3 (EXECUTIVE)이그제큐티브 ,KNALU411BFS024940,20141121,2015,A/T,가솔린,B,3342,46965,업무,법인상품,X,58670000,25800000,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,40,1047,10873,24244,21070,58670000,53300000,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
1905C0689,20190523,Next_Innovation_K5 렌터카 2.0 LPI MX 럭셔리 ,KNAGS416BGA096122,20160526,2016,A/T,LPG,C,1999,28046,렌트,법인상품,X,1,12850000,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,38,1560,16932,32595,31967,19460000,18600000,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
1905C0274,20190523,더뉴K3 1.6 가솔린(4도어) 디럭스 ,KNAFJ412BGA633476,20160516,2016,A/T,가솔린,C,1591,85104,렌트,법인상품,X,14522741,8100000,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,37,1588,17136,33261,32433,16050000,15210000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1905C0833,20190523,Next_Innovation_K5 렌터카 2.0 LPI MX 노블레스 ,KNAGU416BGA059980,20160421,2016,A/T,LPG,B,1999,102099,렌트,법인상품,X,26130000,12100000,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,38,1560,16932,32597,31969,26130000,23750000,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
1905C0497,20190523,레이 1.0 가솔린 VAN ,KNACF911BET080033,20140227,2014,A/T,가솔린,D,998,37303,리스,법인상품,X,11890000,3300000,Y,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,42,233,9158,36817,13490,,11890000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1905C0690,20190523,Next_Innovation_K5 렌터카 2.0 LPI MX 럭셔리 ,KNAGS416BGA085931,20160526,2016,A/T,LPG,C,1999,25483,렌트,법인상품,X,1,12700000,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,38,1560,16932,32595,31967,19460000,18600000,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
